Date,SKEW
2014-03-03,129.12
2014-02-28,137.17
2014-02-27,137.24
2014-02-26,132.22
2014-02-25,121.92
2014-02-24,134.47
2014-02-21,138.79
2014-02-20,134.37
2014-02-19,129.12
2014-02-18,124.25
2014-02-14,129.25
2014-02-13,128.57
2014-02-12,127.84
2014-02-11,126.7
2014-02-10,126.26
2014-02-07,129.01
2014-02-06,124.68
2014-02-05,127.79
2014-02-04,127.26
2014-02-03,126.17
2014-01-31,128.37
2014-01-30,127.91
2014-01-29,126.71
2014-01-28,128.3
2014-01-27,128.73
2014-01-24,131.61
2014-01-23,135.71
2014-01-22,138.92
2014-01-21,138.77
2014-01-17,139.62
2014-01-16,136.35
2014-01-15,132.69
2014-01-14,133.43
2014-01-13,130.59
2014-01-10,126.15
2014-01-09,130.87
2014-01-08,129.46
2014-01-07,129.1
2014-01-06,131.99
2014-01-03,134.46
2014-01-02,133.73
2013-12-31,133.63
2013-12-30,134.36
2013-12-27,136.72
2013-12-26,136.65
2013-12-24,137.88
2013-12-23,138.11
2013-12-20,143.2
2013-12-19,137.86
2013-12-18,135.58
2013-12-17,128.75
2013-12-16,128.21
2013-12-13,126.22
2013-12-12,125.09
2013-12-11,126.74
2013-12-10,126.68
2013-12-09,126.09
2013-12-06,132.32
2013-12-05,128.01
2013-12-04,131.63
2013-12-03,132.38
2013-12-02,131.64
2013-11-29,130.82
2013-11-27,133.82
2013-11-26,133.64
2013-11-25,134.23
2013-11-22,133.76
2013-11-21,124.63
2013-11-20,133.25
2013-11-19,133.62
2013-11-18,137.06
2013-11-15,133.46
2013-11-14,133.03
2013-11-13,131.01
2013-11-12,129.66
2013-11-11,125.55
2013-11-08,126.37
2013-11-07,123.83
2013-11-06,118.69
2013-11-05,122.98
2013-11-04,125.57
2013-11-01,129.84
2013-10-31,132.33
2013-10-30,127.95
2013-10-29,127.58
2013-10-28,133.27
2013-10-25,135.06
2013-10-24,135.42
2013-10-23,134.47
2013-10-22,129.17
2013-10-21,130.67
2013-10-18,131.35
2013-10-17,126.68
2013-10-16,125.24
2013-10-15,131.01
2013-10-14,129.14
2013-10-11,130.97
2013-10-10,120.25
2013-10-09,122.62
2013-10-08,120.72
2013-10-07,123.23
2013-10-04,123.98
2013-10-03,122.31
2013-10-02,123.52
2013-10-01,123.74
2013-09-30,123.46
2013-09-27,124.48
2013-09-26,122.03
2013-09-25,117.45
2013-09-24,119.31
2013-09-23,119.08
2013-09-20,115.87
2013-09-19,115.69
2013-09-18,114.22
2013-09-17,121.59
2013-09-16,118.84
2013-09-13,120.12
2013-09-12,119.67
2013-09-11,120.68
2013-09-10,119.94
2013-09-09,119.0
2013-09-06,118.67
2013-09-05,117.37
2013-09-04,116.97
2013-09-03,116.72
2013-08-30,117.48
2013-08-29,117.21
2013-08-28,117.51
2013-08-27,118.07
2013-08-26,118.69
2013-08-23,120.13
2013-08-22,119.21
2013-08-21,117.17
2013-08-20,118.07
2013-08-19,118.15
2013-08-16,117.21
2013-08-15,115.82
2013-08-14,119.33
2013-08-13,115.81
2013-08-12,115.44
2013-08-09,122.3
2013-08-08,118.47
2013-08-07,118.31
2013-08-06,119.09
2013-08-05,116.53
2013-08-02,116.89
2013-08-01,115.06
2013-07-31,117.85
2013-07-30,119.39
2013-07-29,118.93
2013-07-26,118.23
2013-07-25,117.85
2013-07-24,118.72
2013-07-23,113.14
2013-07-22,112.9
2013-07-19,113.07
2013-07-18,115.58
2013-07-17,115.27
2013-07-16,115.26
2013-07-15,114.42
2013-07-12,113.27
2013-07-11,115.53
2013-07-10,117.08
2013-07-09,115.19
2013-07-08,117.13
2013-07-05,117.12
2013-07-03,113.13
2013-07-02,115.22
2013-07-01,114.85
2013-06-28,116.53
2013-06-27,116.01
2013-06-26,115.81
2013-06-25,115.23
2013-06-24,116.08
2013-06-21,117.36
2013-06-20,117.52
2013-06-19,117.84
2013-06-18,118.7
2013-06-17,116.74
2013-06-14,116.29
2013-06-13,117.28
2013-06-12,115.56
2013-06-11,116.98
2013-06-10,116.2
2013-06-07,116.2
2013-06-06,117.64
2013-06-05,116.57
2013-06-04,116.87
2013-06-03,119.16
2013-05-31,119.51
2013-05-30,117.75
2013-05-29,116.2
2013-05-28,112.47
2013-05-24,118.17
2013-05-23,116.92
2013-05-22,117.16
2013-05-21,117.08
2013-05-20,117.67
2013-05-17,127.85
2013-05-16,121.22
2013-05-15,119.41
2013-05-14,116.16
2013-05-13,119.16
2013-05-10,117.97
2013-05-09,119.08
2013-05-08,117.35
2013-05-07,119.76
2013-05-06,116.93
2013-05-03,118.18
2013-05-02,117.95
2013-05-01,118.05
2013-04-30,119.05
2013-04-29,118.85
2013-04-26,118.86
2013-04-25,119.83
2013-04-24,119.84
2013-04-23,121.56
2013-04-22,120.52
2013-04-19,122.61
2013-04-18,121.28
2013-04-17,120.7
2013-04-16,124.1
2013-04-15,119.92
2013-04-12,117.84
2013-04-11,117.24
2013-04-10,118.34
2013-04-09,118.63
2013-04-08,119.21
2013-04-05,118.34
2013-04-04,120.79
2013-04-03,120.92
2013-04-02,122.84
2013-04-01,121.21
2013-03-28,122.93
2013-03-27,121.99
2013-03-26,122.47
2013-03-25,122.03
2013-03-22,122.18
2013-03-21,121.69
2013-03-20,123.73
2013-03-19,127.08
2013-03-18,126.17
2013-03-15,129.12
2013-03-14,128.96
2013-03-13,127.13
2013-03-12,128.66
2013-03-11,125.21
2013-03-08,124.46
2013-03-07,125.28
2013-03-06,124.73
2013-03-05,126.62
2013-03-04,128.65
2013-03-01,128.19
2013-02-28,126.86
2013-02-27,124.96
2013-02-26,122.92
2013-02-25,121.5
2013-02-22,125.37
2013-02-21,122.58
2013-02-20,124.47
2013-02-19,130.15
2013-02-15,130.46
2013-02-14,127.19
2013-02-13,126.68
2013-02-12,126.12
2013-02-11,125.53
2013-02-08,125.67
2013-02-07,125.35
2013-02-06,122.45
2013-02-05,123.22
2013-02-04,122.6
2013-02-01,122.55
2013-01-31,121.64
2013-01-30,121.92
2013-01-29,123.95
2013-01-28,122.95
2013-01-25,124.71
2013-01-24,125.47
2013-01-23,126.58
2013-01-22,126.73
2013-01-18,124.79
2013-01-17,120.53
2013-01-16,120.13
2013-01-15,120.9
2013-01-14,117.19
2013-01-11,119.14
2013-01-10,118.53
2013-01-09,117.89
2013-01-08,118.15
2013-01-07,116.78
2013-01-04,115.53
2013-01-03,117.93
2013-01-02,121.77
2012-12-31,121.27
2012-12-28,118.38
2012-12-27,119.6
2012-12-26,122.18
2012-12-24,124.47
2012-12-21,127.08
2012-12-20,124.47
2012-12-19,120.76
2012-12-18,117.86
2012-12-17,118.06
2012-12-14,118.92
2012-12-13,116.24
2012-12-12,116.49
2012-12-11,115.92
2012-12-10,114.77
2012-12-07,115.23
2012-12-06,115.74
2012-12-05,114.55
2012-12-04,115.31
2012-12-03,115.98
2012-11-30,117.07
2012-11-29,117.35
2012-11-28,116.12
2012-11-27,116.65
2012-11-26,116.96
2012-11-23,117.82
2012-11-21,116.62
2012-11-20,117.25
2012-11-19,113.46
2012-11-16,115.85
2012-11-15,113.65
2012-11-14,113.23
2012-11-13,114.81
2012-11-12,114.23
2012-11-09,115.4
2012-11-08,116.69
2012-11-07,116.1
2012-11-06,116.34
2012-11-05,115.52
2012-11-02,115.78
2012-11-01,117.85
2012-10-31,115.04
2012-10-26,119.31
2012-10-25,120.89
2012-10-24,119.33
2012-10-23,120.16
2012-10-22,122.99
2012-10-19,125.39
2012-10-18,124.58
2012-10-17,124.95
2012-10-16,122.52
2012-10-15,122.45
2012-10-12,120.97
2012-10-11,120.83
2012-10-10,120.46
2012-10-09,121.21
2012-10-08,122.06
2012-10-05,123.85
2012-10-04,120.39
2012-10-03,125.4
2012-10-02,127.1
2012-10-01,128.17
2012-09-28,125.87
2012-09-27,127.56
2012-09-26,124.06
2012-09-25,125.45
2012-09-24,129.12
2012-09-21,130.6
2012-09-20,128.03
2012-09-19,122.44
2012-09-18,127.38
2012-09-17,122.69
2012-09-14,117.26
2012-09-13,115.69
2012-09-12,123.38
2012-09-11,122.82
2012-09-10,122.37
2012-09-07,120.7
2012-09-06,119.31
2012-09-05,120.49
2012-09-04,119.59
2012-08-31,120.78
2012-08-30,119.0
2012-08-29,120.55
2012-08-28,120.28
2012-08-27,121.53
2012-08-24,123.74
2012-08-23,122.41
2012-08-22,125.32
2012-08-21,129.99
2012-08-20,125.84
2012-08-17,123.79
2012-08-16,121.94
2012-08-15,119.89
2012-08-14,122.05
2012-08-13,121.65
2012-08-10,117.89
2012-08-09,119.84
2012-08-08,115.36
2012-08-07,113.55
2012-08-06,114.79
2012-08-03,120.25
2012-08-02,114.35
2012-08-01,114.59
2012-07-31,113.99
2012-07-30,114.86
2012-07-27,114.4
2012-07-26,116.92
2012-07-25,118.58
2012-07-24,119.13
2012-07-23,120.26
2012-07-20,116.52
2012-07-19,114.19
2012-07-18,116.59
2012-07-17,117.22
2012-07-16,115.09
2012-07-13,119.13
2012-07-12,116.13
2012-07-11,117.3
2012-07-10,119.34
2012-07-09,119.62
2012-07-06,118.45
2012-07-05,117.91
2012-07-03,118.33
2012-07-02,118.89
2012-06-29,119.09
2012-06-28,116.9
2012-06-27,115.85
2012-06-26,114.69
2012-06-25,116.29
2012-06-22,116.37
2012-06-21,118.4
2012-06-20,122.06
2012-06-19,123.09
2012-06-18,121.2
2012-06-15,126.08
2012-06-14,115.05
2012-06-13,120.37
2012-06-12,121.82
2012-06-11,119.28
2012-06-08,122.09
2012-06-07,120.01
2012-06-06,119.66
2012-06-05,117.07
2012-06-04,116.66
2012-06-01,116.35
2012-05-31,119.32
2012-05-30,118.54
2012-05-29,122.39
2012-05-25,120.38
2012-05-24,120.64
2012-05-23,119.52
2012-05-22,119.31
2012-05-21,119.56
2012-05-18,119.28
2012-05-17,119.54
2012-05-16,118.47
2012-05-15,120.04
2012-05-14,119.18
2012-05-11,114.7
2012-05-10,115.11
2012-05-09,115.05
2012-05-08,117.23
2012-05-07,116.68
2012-05-04,115.83
2012-05-03,116.18
2012-05-02,119.94
2012-05-01,120.18
2012-04-30,119.83
2012-04-27,120.08
2012-04-26,121.03
2012-04-25,122.53
2012-04-24,118.36
2012-04-23,117.19
2012-04-20,118.05
2012-04-19,117.6
2012-04-18,119.5
2012-04-17,121.83
2012-04-16,116.67
2012-04-13,118.19
2012-04-12,119.87
2012-04-11,118.43
2012-04-10,119.27
2012-04-09,119.05
2012-04-05,120.61
2012-04-04,121.0
2012-04-03,123.84
2012-04-02,123.13
2012-03-30,124.97
2012-03-29,121.69
2012-03-28,121.61
2012-03-27,121.13
2012-03-26,118.02
2012-03-23,122.98
2012-03-22,121.17
2012-03-21,124.6
2012-03-20,128.02
2012-03-19,128.85
2012-03-16,138.43
2012-03-15,136.51
2012-03-14,118.82
2012-03-13,122.89
2012-03-12,139.25
2012-03-09,124.78
2012-03-08,125.08
2012-03-07,126.02
2012-03-06,126.49
2012-03-05,126.23
2012-03-02,125.2
2012-03-01,127.63
2012-02-29,124.59
2012-02-28,125.65
2012-02-27,126.98
2012-02-24,128.72
2012-02-23,127.81
2012-02-22,127.7
2012-02-21,128.46
2012-02-17,129.54
2012-02-16,130.29
2012-02-15,128.88
2012-02-14,129.96
2012-02-13,127.89
2012-02-10,129.59
2012-02-09,126.48
2012-02-08,124.76
2012-02-07,123.02
2012-02-06,123.63
2012-02-03,122.14
2012-02-02,122.26
2012-02-01,121.39
2012-01-31,121.96
2012-01-30,121.99
2012-01-27,121.5
2012-01-26,122.96
2012-01-25,125.22
2012-01-24,127.38
2012-01-23,125.83
2012-01-20,129.24
2012-01-19,129.6
2012-01-18,130.78
2012-01-17,125.63
2012-01-13,121.92
2012-01-12,120.78
2012-01-11,120.2
2012-01-10,118.99
2012-01-09,119.07
2012-01-06,118.29
2012-01-05,117.76
2012-01-04,117.63
2012-01-03,117.1
2011-12-30,116.21
2011-12-29,116.57
2011-12-28,116.32
2011-12-27,116.53
2011-12-23,117.14
2011-12-22,115.56
2011-12-21,115.16
2011-12-20,120.66
2011-12-19,116.58
2011-12-16,119.22
2011-12-15,122.35
2011-12-14,120.66
2011-12-13,119.44
2011-12-12,120.26
2011-12-09,116.83
2011-12-08,115.37
2011-12-07,115.87
2011-12-06,115.16
2011-12-05,116.14
2011-12-02,116.31
2011-12-01,116.9
2011-11-30,116.56
2011-11-29,116.45
2011-11-28,118.63
2011-11-25,114.77
2011-11-23,116.78
2011-11-22,114.92
2011-11-21,115.15
2011-11-18,120.04
2011-11-17,121.59
2011-11-16,122.92
2011-11-15,124.97
2011-11-14,124.56
2011-11-11,124.56
2011-11-10,125.24
2011-11-09,122.87
2011-11-08,124.77
2011-11-07,124.93
2011-11-04,123.56
2011-11-03,124.19
2011-11-02,123.95
2011-11-01,126.65
2011-10-31,120.69
2011-10-28,121.18
2011-10-27,122.82
2011-10-26,122.65
2011-10-25,122.65
2011-10-24,124.85
2011-10-21,127.19
2011-10-20,122.57
2011-10-19,122.57
2011-10-18,127.99
2011-10-17,124.46
2011-10-14,121.9
2011-10-13,121.98
2011-10-12,121.6
2011-10-11,118.91
2011-10-10,116.81
2011-10-07,116.1
2011-10-06,115.42
2011-10-05,113.87
2011-10-04,115.28
2011-10-03,113.09
2011-09-30,114.83
2011-09-29,118.97
2011-09-28,118.21
2011-09-27,119.55
2011-09-26,120.34
